"","cell","pseudotime"
"HK06h_20201203_9","HK06h",0.0495378308237605
"HK06h_20201203_10","HK06h",0.104281339122891
"HK06h_20201203_11","HK06h",0.864744375748219
"HK06h_20201203_12","HK06h",0.000735773246860007
"HK06h_20201203_13","HK06h",0.373516351011074
"HK06h_20201203_14","HK06h",0.363109637489064
"HK06h_20201203_15","HK06h",0.348254725903633
"HK06h_20201203_16","HK06h",0.0427608379088504
"HK06h_20201203_17","HK06h",0.425950241757484
"HK06h_20201203_18","HK06h",0.341522094059163
"HK06h_20201203_19","HK06h",0.335537698117733
"HK06h_20201203_20","HK06h",0.339968279378453
"HK06h_20201203_21","HK06h",0.367327481943854
"HK06h_20201203_22","HK06h",0.313572694874233
"HK06h_20201203_23","HK06h",0.380439203132184
"HK06h_20201203_24","HK06h",0.348963503249983
"HK06h_20201203_25","HK06h",0.368791961711224
"HK06h_20201203_26","HK06h",0.287689714282353
"HK06h_20201203_27","HK06h",0.310911943109233
"HK06h_20201203_28","HK06h",0.271386339468133
"HK06h_20201203_29","HK06h",0.432732649539194
"HK06h_20201203_30","HK06h",0.362278369586874
"HK06h_20201203_31","HK06h",0.386240968156644
"HK06h_20201203_32","HK06h",0.358374342718014
"HK06h_20201203_33","HK06h",0.373733886772854
"HK06h_20201203_34","HK06h",0.401759565752964
"HK06h_20201203_35","HK06h",0.221946340403002
"HK06h_20201203_36","HK06h",0.295183118366673
"HK06h_20201203_37","HK06h",0.165147860866322
"HK06h_20201203_38","HK06h",0.224066735040152
"HK06h_20201203_39","HK06h",0.0297037065084303
"HK06h_20201209_0","HK06h",0.106680084048961
"HK06h_20201209_1","HK06h",0.95790330674158
"HK06h_20201209_2","HK06h",0.0610116245590906
"HK06h_20201209_3","HK06h",1
"HK06h_20201209_4","HK06h",0.130048103045961
"HK06h_20201209_5","HK06h",0.246550034892122
"HK06h_20201209_6","HK06h",0.276489209613393
"HK06h_20201209_7","HK06h",0.178488335173712
"HK06h_20201209_8","HK06h",0.274321316697503
"HK06h_20201209_9","HK06h",0.192636148045012
"HK06h_20201209_10","HK06h",0.208276138743892
"HK06h_20201209_11","HK06h",0.0645712557575706
"HK06h_20201209_12","HK06h",0.0560011357208806
"HK06h_20201209_13","HK06h",0.298580718033683
"HK06h_20201209_14","HK06h",0.127736301296851
"HK06h_20201209_15","HK06h",0.0569739150427206
